_c0,_c1,Name,Username,User Profile,Tweet ID,Retweets,Comments,Favorites,Is Retweet?,Date,Tweet Text,Tweet Source,Status URL,SCORE,clean_text,correctec_text,processed_text
1,,CNN en Español,CNNEE,https://www.twitter.com/CNNEE,ID: 1719064401330966689,84,117,389,,2023-10-30 18:51:06,"""Netanyahu: """"Israel no aceptará un cese de hostilidades con Hamas. Este es un momento para la guerra"""".Más información: https://t.co/HTgQZLSAEs https://t.co/VafBiRmO4d""",,https://www.twitter.com/CNNEE/status/1719064401330966689,Neutral,netanyahu israel no aceptará un cese de hostilidades con hamas este es un momento para la guerramás información  ,Netanyahu Israel no aceptará un cese de hostilidades con Hamás este es un momento para la guerra más información ,Netanyahu  Israel no aceptará un cese de hostilidades con Hamas  Este es un momento para la guerra  Más información
2,,^Malo del Alma^ EN CONTRA🇨🇱🌈🪴 😎,jazzun,https://www.twitter.com/jazzun,ID: 1719064401330966689,0,0,2,,2023-10-30 18:52:11,@CNNEE Fácil decirlo tras las polleras de EEUU,,https://www.twitter.com/jazzun/status/1719064401330966689,Positivo, fácil decirlo tras las polleras de eeuu, Fácil decirlo tras las polleras de EEUU,Fácil decirlo tras las polleras de EEUU
3,,Carolina ♡,Carolin72908345,https://www.twitter.com/Carolin72908345,ID: 1719064401330966689,0,0,0,,2023-10-30 18:53:23,@CNNEE 🫣,,https://www.twitter.com/Carolin72908345/status/1719064401330966689,Neutral, , ,
4,,Israel Ramos,IsraPanter,https://www.twitter.com/IsraPanter,ID: 1719064401330966689,2,2,7,,2023-10-30 18:53:31,@CNNEE https://t.co/ph5DRKsGuY,,https://www.twitter.com/IsraPanter/status/1719064401330966689,Negativo, , ,
5,,Alexis Segovia,AlexisS78626235,https://www.twitter.com/AlexisS78626235,ID: 1719064401330966689,0,0,0,,2023-10-30 18:54:55,@CNNEE Así es,,https://www.twitter.com/AlexisS78626235/status/1719064401330966689,Neutral, así es, Así es,Así es
6,,Víctor Iglesias González 🇪🇸🇮🇱,VictorIG80,https://www.twitter.com/VictorIG80,ID: 1719064401330966689,0,0,1,,2023-10-30 18:55:05,"@CNNEE Las Legiones de Demonios junto a los Siervos de Satanas en el mundo han buscado, de manera concertada y prediseñada, provocar la Guerra de Hamas e Israel. Por dos razones principalmente:1°- Porque no han podido impactar suficiente en la humanidad con Ucrania y Escalar la… https://t.co/c8KqxiH586",,https://www.twitter.com/VictorIG80/status/1719064401330966689,Neutral, las legiones de demonios junto a los siervos de satanas en el mundo han buscado de manera concertada y prediseñada provocar la guerra de hamas e israel por dos razones principalmente1 porque no han podido impactar suficiente en la humanidad con ucrania y escalar la , Las legiones de demonios junto a los siervos de satanás en el mundo han buscado de manera concertada y prediseñada provocar la guerra de Hamás e Israel por dos razones principalmente 1 porque no han podido impactar suficiente en la humanidad con ucrania y escalar la ,Las Legiones de Demonios junto a los Siervos de Satanas en el mundo han buscado  de manera concertada y prediseñada  provocar la Guerra de Hamas e Israel  Por dos razones principalmente 1  Porque no han podido impactar suficiente en la humanidad con Ucrania y Escalar la
7,,monica VIP* Anti Ka.,TullioMonica,https://www.twitter.com/TullioMonica,ID: 1719064401330966689,0,0,0,,2023-10-30 18:55:14,@CNNEE Desgraciado,,https://www.twitter.com/TullioMonica/status/1719064401330966689,Negativo, desgraciado, Desgraciado,Desgraciado
8,,Ula Barison. Miliciana.,UlaBarison5,https://www.twitter.com/UlaBarison5,ID: 1719064401330966689,0,0,1,,2023-10-30 18:55:19,@CNNEE Genocida delirante asqueroso asesino de niños. Comerás juicio sionista enfermo.,,https://www.twitter.com/UlaBarison5/status/1719064401330966689,Negativo, genocida delirante asqueroso asesino de niños comerás juicio sionista enfermo, Genocida delirante asqueroso asesino de niños comerás juicio sionista enfermo,Genocida delirante asqueroso asesino de niños  Comerás juicio sionista enfermo
9,,La Carnala Mayor,La_Carnala,https://www.twitter.com/La_Carnala,ID: 1719064401330966689,0,0,1,,2023-10-30 18:55:23,@CNNEE #IsraelGenocida,,https://www.twitter.com/La_Carnala/status/1719064401330966689,Negativo, israelgenocida, israelgenocida,hashtag israel genocida
10,,Manuel Martìnez,mmartinez975,https://www.twitter.com/mmartinez975,ID: 1719064401330966689,0,3,6,,2023-10-30 18:55:58,@CNNEE Hamas va a ser barrida,,https://www.twitter.com/mmartinez975/status/1719064401330966689,Positivo, hamas va a ser barrida, Hamás va a ser barrida,Hamas va a ser barrida
11,,José Ramírez 💥,11denoviembre10,https://www.twitter.com/11denoviembre10,ID: 1719064401330966689,0,0,1,,2023-10-30 18:58:01,@CNNEE El demonio Benjamin está enardecido desde el corazón......no más destrucción y muertes,,https://www.twitter.com/11denoviembre10/status/1719064401330966689,Negativo, el demonio benjamin está enardecido desde el corazónno más destrucción y muertes, El demonio benjamín está enardecido desde el corazón no más destrucción y muertes,El demonio Benjamin está enardecido desde el corazón  no más destrucción y muertes
12,,Ailee,spobletem,https://www.twitter.com/spobletem,ID: 1719064401330966689,0,0,1,,2023-10-30 18:58:44,@CNNEE DEMENTEhttps://t.co/48OptBBrgv,,https://www.twitter.com/spobletem/status/1719064401330966689,Negativo, demente, Demente,DEMENTE
13,,Joel➐,marcusxabier,https://www.twitter.com/marcusxabier,ID: 1719064401330966689,0,0,1,,2023-10-30 19:01:37,@CNNEE Netanyahu genocida 💀💀💀 https://t.co/IdRbc80yPT,,https://www.twitter.com/marcusxabier/status/1719064401330966689,Negativo, netanyahu genocida  , Netanyahu genocida ,Netanyahu genocida
14,,🇧🇷Mauro Santos🏁🇺🇦🇮🇱,MauroVS,https://www.twitter.com/MauroVS,ID: 1719064401330966689,0,0,1,,2023-10-30 19:02:14,@CNNEE Mui bien,,https://www.twitter.com/MauroVS/status/1719064401330966689,Positivo, mui bien, muy bien,Mui bien
15,,jhon 💙,santoyo832,https://www.twitter.com/santoyo832,ID: 1719064401330966689,0,0,0,,2023-10-30 19:02:24,"@CNNEE Hasta desparecer a hamas, 💪💪",,https://www.twitter.com/santoyo832/status/1719064401330966689,Negativo, hasta desparecer a hamas , Hasta desaparecer a Hamás ,Hasta desparecer a hamas
16,,Gustavo Moreno,Gustavo07280702,https://www.twitter.com/Gustavo07280702,ID: 1719064401330966689,0,0,4,,2023-10-30 19:03:33,@CNNEE CRIMINAL ABERRANTE,,https://www.twitter.com/Gustavo07280702/status/1719064401330966689,Negativo, criminal aberrante, Criminal aberrante,CRIMINAL ABERRANTE
17,,PimentelS,SdidiPim25,https://www.twitter.com/SdidiPim25,ID: 1719064401330966689,0,0,1,,2023-10-30 19:04:03,@CNNEE El es un genocida y cerdo,,https://www.twitter.com/SdidiPim25/status/1719064401330966689,Negativo, el es un genocida y cerdo, él es un genocida y cerdo,El es un genocida y cerdo
18,,Haytiempo__,haytiempo__,https://www.twitter.com/haytiempo__,ID: 1719064401330966689,0,0,1,,2023-10-30 19:05:38,@CNNEE NAZI,,https://www.twitter.com/haytiempo__/status/1719064401330966689,Negativo, nazi, Nazi,NAZI
19,,Dexter Kreuze 🇻🇪🇩🇪,DexterKreuze,https://www.twitter.com/DexterKreuze,ID: 1719064401330966689,0,0,0,,2023-10-30 19:07:48,"@CNNEE bueno, seremos complices en silencio mientras vemos como se llevara a cabo una masacre sin medida y apoyada por paises belicistas y personas de poca vergüenza, israel al mejor estilo nazi y medieval, llevara a cabo esta guerra sin cuartel, y asi se hacen llamar pueblo de luz",,https://www.twitter.com/DexterKreuze/status/1719064401330966689,Negativo, bueno seremos complices en silencio mientras vemos como se llevara a cabo una masacre sin medida y apoyada por paises belicistas y personas de poca vergüenza israel al mejor estilo nazi y medieval llevara a cabo esta guerra sin cuartel y asi se hacen llamar pueblo de luz, Bueno seremos cómplices en silencio mientras vemos como se llevara a cabo una masacre sin medida y apoyada por países belicistas y personas de poca vergüenza Israel al mejor estilo nazi y medieval llevara a cabo esta guerra sin cuartel y así se hacen llamar pueblo de luz,bueno  seremos complices en silencio mientras vemos como se llevara a cabo una masacre sin medida y apoyada por paises belicistas y personas de poca vergüenza  israel al mejor estilo nazi y medieval  llevara a cabo esta guerra sin cuartel  y asi se hacen llamar pueblo de luz
20,,Jorge,MjfJorge,https://www.twitter.com/MjfJorge,ID: 1719064401330966689,1,1,6,,2023-10-30 19:09:15,"@CNNEE Netanyahu es un asesino salvaje, inmoral e inhumano, igual que sus grupos extremistas y también lo es Hamas",,https://www.twitter.com/MjfJorge/status/1719064401330966689,Negativo, netanyahu es un asesino salvaje inmoral e inhumano igual que sus grupos extremistas y también lo es hamas, Netanyahu es un asesino salvaje inmoral e inhumano igual que sus grupos extremistas y también lo es Hamás,Netanyahu es un asesino salvaje  inmoral e inhumano  igual que sus grupos extremistas y también lo es Hamas
21,,Gregfotos,Gregfotos1,https://www.twitter.com/Gregfotos1,ID: 1719064401330966689,0,0,0,,2023-10-30 19:11:40,@CNNEE https://t.co/vilqD7bJgo,,https://www.twitter.com/Gregfotos1/status/1719064401330966689,Neutral, , ,
22,,Edison Romero,edisonrfhi13,https://www.twitter.com/edisonrfhi13,ID: 1719064401330966689,0,1,0,,2023-10-30 19:13:10,@CNNEE @Israel @IsraelinSpanish @IsraelinCol ...ISRAEL ESTADO GEN0CIDX Y NAZ!!...Ya todo el mundo 🌍 lo sabe...esa infamia jamás la borrarán de la historia...Y los medios informativos tradicionales con Eufemismos avalando el holocausto 🤢🤮🤮🤮,,https://www.twitter.com/edisonrfhi13/status/1719064401330966689,Positivo,    israel estado gen0cidx y naz!!ya todo el mundo  lo sabeesa infamia jamás la borrarán de la historiay los medios informativos tradicionales con eufemismos avalando el holocausto , Israel estado vencido y más!! Ya todo el mundo lo sabuesa infamia jamás la borrarán de la historia los medios informativos tradicionales con eufemismos avalando el holocausto ,ISRAEL ESTADO GEN0CIDX Y NAZ!!  Ya todo el mundo  lo sabe  esa infamia jamás la borrarán de la historia  Y los medios informativos tradicionales con Eufemismos avalando el holocausto
23,,luisvillamarin.com,villamarinluis,https://www.twitter.com/villamarinluis,ID: 1719064401330966689,1,0,1,,2023-10-30 19:21:21,"@CNNEE Netanyahu no cederá en nada, porque de esta guerra depende su estadía en el poder, su eventual destitución y hasta un juicio penal que lo lleve a la cárcel. Israel entra en su propio Vietnam para vengar una atrocidad sucedida en gran parte por incompetencia del primer ministro.",,https://www.twitter.com/villamarinluis/status/1719064401330966689,Negativo, netanyahu no cederá en nada porque de esta guerra depende su estadía en el poder su eventual destitución y hasta un juicio penal que lo lleve a la cárcel israel entra en su propio vietnam para vengar una atrocidad sucedida en gran parte por incompetencia del primer ministro, Netanyahu no cederá en nada porque de esta guerra depende su estadía en el poder su eventual destitución y hasta un juicio penal que lo lleve a la cárcel Israel entra en su propio Vietnam para vengar una atrocidad sucedida en gran parte por incompetencia del primer ministro,Netanyahu no cederá en nada  porque de esta guerra depende su estadía en el poder  su eventual destitución y hasta un juicio penal que lo lleve a la cárcel  Israel entra en su propio Vietnam para vengar una atrocidad sucedida en gran parte por incompetencia del primer ministro
24,,M31,M311846911M31,https://www.twitter.com/M311846911M31,ID: 1719064401330966689,0,0,11,,2023-10-30 19:22:22,@CNNEE Estamos contigo Israel!,,https://www.twitter.com/M311846911M31/status/1719064401330966689,Positivo, estamos contigo israel!, ¡estamos contigo Israel!,Estamos contigo Israel!
25,,thomas neumann,thomasn86349818,https://www.twitter.com/thomasn86349818,ID: 1719064401330966689,0,0,0,,2023-10-30 19:24:33,@CNNEE Su sueño húmedo,,https://www.twitter.com/thomasn86349818/status/1719064401330966689,Positivo, su sueño húmedo, Su sueño húmedo,Su sueño húmedo
26,,Armando Vaquez,vaquez_armando,https://www.twitter.com/vaquez_armando,ID: 1719064401330966689,0,0,3,,2023-10-30 19:30:23,@CNNEE Bien hay que borrar esas ratas de la fas dela tierra,,https://www.twitter.com/vaquez_armando/status/1719064401330966689,Negativo, bien hay que borrar esas ratas de la fas dela tierra, Bien hay que borrar esas ratas de el fa dela tierra,Bien hay que borrar esas ratas de la fas dela tierra
27,,Moises,Nano31754952,https://www.twitter.com/Nano31754952,ID: 1719064401330966689,0,0,0,,2023-10-30 19:33:01,@CNNEE Genocidio y exterminio,,https://www.twitter.com/Nano31754952/status/1719064401330966689,Negativo, genocidio y exterminio, Genocidio y exterminio,Genocidio y exterminio
28,,Zorg 🇷🇺,srxort,https://www.twitter.com/srxort,ID: 1719064401330966689,0,1,0,,2023-10-30 19:33:36,@CNNEE Van a destruir todo por su odio,,https://www.twitter.com/srxort/status/1719064401330966689,Negativo, van a destruir todo por su odio, Van a destruir todo por su odio,Van a destruir todo por su odio
29,,osvaldo di cola,odicola,https://www.twitter.com/odicola,ID: 1719064401330966689,0,0,0,,2023-10-30 19:41:08,@CNNEE https://t.co/hTMzdewcHF,,https://www.twitter.com/odicola/status/1719064401330966689,Positivo, , ,
30,,JJ Galvez,YoSoyJJGalvez,https://www.twitter.com/YoSoyJJGalvez,ID: 1719064401330966689,0,0,1,,2023-10-30 19:43:20,"@CNNEE La única opción aceptable para Israel es que Hamás se rinda incondicionalmente (como Alemania en la 2aGM) o que sea eliminado, porque cualquier otra opción los deja vulnerables a que estos terroristas vuelvan a asesinar y secuestrar a su gente (usando Palestinos de escudo)",,https://www.twitter.com/YoSoyJJGalvez/status/1719064401330966689,Neutral, la única opción aceptable para israel es que hamás se rinda incondicionalmente como alemania en la 2agm o que sea eliminado porque cualquier otra opción los deja vulnerables a que estos terroristas vuelvan a asesinar y secuestrar a su gente usando palestinos de escudo, La única opción aceptable para Israel es que Hamás se rinda incondicionalmente como Alemania en la 2 agm o que sea eliminado porque cualquier otra opción los deja vulnerables a que estos terroristas vuelvan a asesinar y secuestrar a su gente usando palestinos de escudo,La única opción aceptable para Israel es que Hamás se rinda incondicionalmente  como Alemania en la 2aGM  o que sea eliminado  porque cualquier otra opción los deja vulnerables a que estos terroristas vuelvan a asesinar y secuestrar a su gente  usando Palestinos de escudo
31,,Miquel ö,Miguel19821817,https://www.twitter.com/Miguel19821817,ID: 1719064401330966689,0,0,0,,2023-10-30 19:43:30,@CNNEE Ojalá se perdiera una 💣 de esas que matan a niños y le diera al genocida de Netanyahu en toda la boca. Seguro que la cosa se arregla después,,https://www.twitter.com/Miguel19821817/status/1719064401330966689,Positivo, ojalá se perdiera una  de esas que matan a niños y le diera al genocida de netanyahu en toda la boca seguro que la cosa se arregla después, Ojalá se perdiera una de esas que matan a niños y le diera al genocida de Netanyahu en toda la boca seguro que la cosa se arregla después,Ojalá se perdiera una  de esas que matan a niños y le diera al genocida de Netanyahu en toda la boca  Seguro que la cosa se arregla después
32,,Luis César,luiscesar01994,https://www.twitter.com/luiscesar01994,ID: 1719064401330966689,0,0,2,,2023-10-30 19:47:44,@CNNEE #YoEstoyConIsrael,,https://www.twitter.com/luiscesar01994/status/1719064401330966689,Positivo, yoestoyconisrael, yoestoyconisrael,hashtag yo estoy con israel
33,,DanielMDZ🪖,DanielMdZ159395,https://www.twitter.com/DanielMdZ159395,ID: 1719064401330966689,0,0,0,,2023-10-30 19:49:00,@CNNEE #IsraelTerroristState https://t.co/rx9kJeTSpI,,https://www.twitter.com/DanielMdZ159395/status/1719064401330966689,Negativo, israelterroriststate , israelterroriststate ,hashtag israel terrorist state
34,,RevueltoGramajo,RevueltoG,https://www.twitter.com/RevueltoG,ID: 1719064401330966689,0,0,0,,2023-10-30 19:49:51,@CNNEE Excelente. Hasta que no quede un solo terrorista de Hamas vivo.,,https://www.twitter.com/RevueltoG/status/1719064401330966689,Positivo, excelente hasta que no quede un solo terrorista de hamas vivo, Excelente hasta que no quede un solo terrorista de Hamás vivo,Excelente  Hasta que no quede un solo terrorista de Hamas vivo
35,,Jorge Quintero 🇻🇪🇦🇷,Jlqr79,https://www.twitter.com/Jlqr79,ID: 1719064401330966689,0,0,0,,2023-10-30 19:50:07,@CNNEE 💪💪💪,,https://www.twitter.com/Jlqr79/status/1719064401330966689,Positivo, , ,
36,,LisZeVi,LissetteZ8,https://www.twitter.com/LissetteZ8,ID: 1719064401330966689,0,0,1,,2023-10-30 19:50:52,@CNNEE No lo dijo así... Ese sionista fanático demente tomó frases de la biblia y en nombre de Dios justifica las masacres.... No veo la hora que haga cuentas con la justicia https://t.co/obAQzJj7l5,,https://www.twitter.com/LissetteZ8/status/1719064401330966689,Negativo, no lo dijo así ese sionista fanático demente tomó frases de la biblia y en nombre de dios justifica las masacres no veo la hora que haga cuentas con la justicia , No lo dijo así ese sionista fanático demente tomó frases de la biblia y en nombre de dios justifica las masacres no veo la hora que haga cuentas con la justicia ,No lo dijo así  Ese sionista fanático demente tomó frases de la biblia y en nombre de Dios justifica las masacres  No veo la hora que haga cuentas con la justicia
37,,Cero corrupción,Cerocorrup87732,https://www.twitter.com/Cerocorrup87732,ID: 1719064401330966689,0,0,0,,2023-10-30 19:55:38,@CNNEE 👍🇮🇱🇮🇱🇮🇱🇮🇱,,https://www.twitter.com/Cerocorrup87732/status/1719064401330966689,Positivo, , ,
38,,Saul S linares Pineda,Megasalvatore,https://www.twitter.com/Megasalvatore,ID: 1719064401330966689,0,1,0,,2023-10-30 19:59:30,@CNNEE 2 estados uno de israel y uno de palestina.. Eso es todo...,,https://www.twitter.com/Megasalvatore/status/1719064401330966689,Neutral, 2 estados uno de israel y uno de palestina eso es todo, 2 estados uno de Israel y uno de palestina eso es todo,2 estados uno de israel y uno de palestina  Eso es todo
39,,Michel    ميشال,BarzakM,https://www.twitter.com/BarzakM,ID: 1719064401330966689,0,0,0,,2023-10-30 20:01:00,@CNNEE Holocausto Palestino https://t.co/ysm95RpbDZ,,https://www.twitter.com/BarzakM/status/1719064401330966689,Negativo, holocausto palestino , Holocausto palestino ,Holocausto Palestino
40,,Angel Ortega,AngelEOrtega,https://www.twitter.com/AngelEOrtega,ID: 1719064401330966689,0,0,0,,2023-10-30 20:04:59,"@CNNEE Usurpador de Palestina, no es el momento para que siga matando la generacion de niños inocentes de Palestina.",,https://www.twitter.com/AngelEOrtega/status/1719064401330966689,Negativo, usurpador de palestina no es el momento para que siga matando la generacion de niños inocentes de palestina, Usurpador de palestina no es el momento para que siga matando la generación de niños inocentes de palestina,Usurpador de Palestina  no es el momento para que siga matando la generacion de niños inocentes de Palestina
41,,🔺 Pila1144,pila1144,https://www.twitter.com/pila1144,ID: 1719064401330966689,0,0,0,,2023-10-30 20:06:42,"""@CNNEE Dejo a Hamás la puerta abierta para un ataque """"sorpresivo"""" y así tener Netanyahu el objetivo de acelerar el proceso de hacer que Gaza sea inhabitable"," destruirlo y expulsar a los sobrevivientes palestinos a Egipto.Es NAKBA 2.0 https://t.co/cLo0I8f8SZ""",,https://www.twitter.com/pila1144/status/1719064401330966689, dejo a hamás la puerta abierta para un ataque sorpresivo y así tener netanyahu el objetivo de acelerar el proceso de hacer que gaza sea inhabitable, Dejo a Hamás la puerta abierta para un ataque sorpresivo y así tener Netanyahu el objetivo de acelerar el proceso de hacer que gaza sea inhabitable,Dejo a Hamás la puerta abierta para un ataque  sorpresivo  y así tener Netanyahu el objetivo de acelerar el proceso de hacer que Gaza sea inhabitable
42,,Daniel,Jairo06945954,https://www.twitter.com/Jairo06945954,ID: 1719064401330966689,0,0,0,,2023-10-30 20:12:41,@CNNEE Eclesiástes 3 8 🇮🇱⛈️🦁,,https://www.twitter.com/Jairo06945954/status/1719064401330966689,Positivo, eclesiástes 3 8 , Eclesiastés 3 8 ,Eclesiástes 3 8
43,,David | 🇨🇷 🇺🇦 🇵🇸,abogado_penalcr,https://www.twitter.com/abogado_penalcr,ID: 1719064401330966689,0,0,0,,2023-10-30 20:14:37,@CNNEE Escoria asquerosa,,https://www.twitter.com/abogado_penalcr/status/1719064401330966689,Negativo, escoria asquerosa, Escoria asquerosa,Escoria asquerosa
44,,ana laura Sordo,SORDOANA,https://www.twitter.com/SORDOANA,ID: 1719064401330966689,0,0,0,,2023-10-30 20:14:39,@CNNEE Este tipo con su afán de odio y sed de venganza ya se ganó a pulso el repudio  de su gente de Israel y del mundo entero https://t.co/ai9s5XCpKT,,https://www.twitter.com/SORDOANA/status/1719064401330966689,Negativo, este tipo con su afán de odio y sed de venganza ya se ganó a pulso el repudio  de su gente de israel y del mundo entero , Este tipo con su afán de odio y sed de venganza ya se ganó a pulso el repudio de su gente de Israel y del mundo entero ,Este tipo con su afán de odio y sed de venganza ya se ganó a pulso el repudio  de su gente de Israel y del mundo entero
45,,Dioniso,Rey_Baco,https://www.twitter.com/Rey_Baco,ID: 1719064401330966689,0,0,0,,2023-10-30 20:21:36,"@CNNEE Paz, No !!!Guerra, si muchas gracias",,https://www.twitter.com/Rey_Baco/status/1719064401330966689,Neutral, paz no !!!guerra si muchas gracias, Paz no!!! Guerra si muchas gracias,Paz  No !!Guerra  si muchas gracias
46,,Ar53n10,Ar53n10,https://www.twitter.com/Ar53n10,ID: 1719064401330966689,0,0,0,,2023-10-30 20:22:05,@CNNEE ¡Qué arrase con los terroristas!,,https://www.twitter.com/Ar53n10/status/1719064401330966689,Positivo, qué arrase con los terroristas!, ¡qué arrase con los terroristas!,Qué arrase con los terroristas!
47,,Robert Leandro 🇵🇪,RobertLeandro_,https://www.twitter.com/RobertLeandro_,ID: 1719064401330966689,0,0,0,,2023-10-30 20:28:06,"@CNNEE Adelante, hasta el final!",,https://www.twitter.com/RobertLeandro_/status/1719064401330966689,Positivo, adelante hasta el final!, ¡adelante hasta el final!,Adelante  hasta el final!
48,,Su Archiduque.,Nekko1969,https://www.twitter.com/Nekko1969,ID: 1719064401330966689,0,0,0,,2023-10-30 20:28:24,"@CNNEE El trance de hoy del pueblo judío, en unos años más lo deberá vivir occidente.#YoEstoyConIsrael",,https://www.twitter.com/Nekko1969/status/1719064401330966689,Positivo, el trance de hoy del pueblo judío en unos años más lo deberá vivir occidenteyoestoyconisrael, El trance de hoy del pueblo judío en unos años más lo deberá vivir occidenteyoestoyconisrael,El trance de hoy del pueblo judío  en unos años más lo deberá vivir occidente hashtag yo estoy con israel
49,,Rodrigo Burgos M.,Musitech73,https://www.twitter.com/Musitech73,ID: 1719064401330966689,0,0,0,,2023-10-30 20:28:41,@CNNEE impresentable!!,,https://www.twitter.com/Musitech73/status/1719064401330966689,Negativo, impresentable!!, ¡impresentable!!,impresentable!!
50,,Daeva de la Ira 👹,diabloinmusica,https://www.twitter.com/diabloinmusica,ID: 1719064401330966689,0,0,6,,2023-10-30 20:31:31,"@CNNEE No es guerra, es genocidio.",,https://www.twitter.com/diabloinmusica/status/1719064401330966689,Negativo, no es guerra es genocidio, No es guerra es genocidio,No es guerra  es genocidio
51,,Rodrigo Burgos M.,Musitech73,https://www.twitter.com/Musitech73,ID: 1719064401330966689,0,0,1,,2023-10-30 20:31:48,@CNNEE https://t.co/XdZF9DRVZR,,https://www.twitter.com/Musitech73/status/1719064401330966689,Negativo, , ,
52,,Hallister Duran,duranhallister,https://www.twitter.com/duranhallister,ID: 1719064401330966689,0,0,0,,2023-10-30 20:32:38,@CNNEE Es fácil decir que acaben con los terroristas si muy bien saben que primero masacran a los inofensivos e inocentes niños y mujeres! Netanyahu es un sionista criminal. Pero aquí en la tierra él pagará el daño que les ha hecho a los palestinos inocentes.,,https://www.twitter.com/duranhallister/status/1719064401330966689,Negativo, es fácil decir que acaben con los terroristas si muy bien saben que primero masacran a los inofensivos e inocentes niños y mujeres! netanyahu es un sionista criminal pero aquí en la tierra él pagará el daño que les ha hecho a los palestinos inocentes," Es fácil decir que acaben con los terroristas si muy bien saben que primero masacran a los inofensivos e inocentes niños y mujeres! Netanyahu es un sionista criminal, pero aquí en la tierra él pagará el daño que les ha hecho a los palestinos inocentes",Es fácil decir que acaben con los terroristas si muy bien saben que primero masacran a los inofensivos e inocentes niños y mujeres! Netanyahu es un sionista criminal  Pero aquí en la tierra él pagará el daño que les ha hecho a los palestinos inocentes
53,,LIBERTAD!,EclectikaD,https://www.twitter.com/EclectikaD,ID: 1719064401330966689,0,0,0,,2023-10-30 20:33:16,@CNNEE ISRAEL tiene + de 3.800 años de existencia y Prevalecerá!,,https://www.twitter.com/EclectikaD/status/1719064401330966689,Positivo, israel tiene + de 3800 años de existencia y prevalecerá!, ¡israel tiene + de 3800 años de existencia y prevalecerá!,ISRAEL tiene + de 3 800 años de existencia y Prevalecerá!
